Train: total=51501 -> class0=26021, class1=25480
Test:  total=17166 -> class0=8673, class1=8493
Train class0 ratio = 75.00%
Train class1 ratio = 75.00%
Enter the number of hidden layers: 2
Enter the number of neurons in hidden layer 1: 32
Enter the number of neurons in hidden layer 2: 16
Iter 176   J = 0.67023   Acc_train = 59.2979 %
Iter 177   J = 0.67009   Acc_train = 59.2998 %
Iter 178   J = 0.66995   Acc_train = 59.2998 %
Iter 179   J = 0.6698   Acc_train = 59.3192 %
Iter 180   J = 0.66966   Acc_train = 59.3387 %
Iter 181   J = 0.66952   Acc_train = 59.3522 %
Iter 182   J = 0.66938   Acc_train = 59.3561 %
Iter 183   J = 0.66924   Acc_train = 59.3697 %
Iter 184   J = 0.6691   Acc_train = 59.3658 %
Iter 185   J = 0.66895   Acc_train = 59.3755 %
Iter 186   J = 0.66881   Acc_train = 59.3736 %
Iter 187   J = 0.66867   Acc_train = 59.3833 %
Iter 188   J = 0.66853   Acc_train = 59.393 %
Iter 189   J = 0.66839   Acc_train = 59.3891 %
Iter 190   J = 0.66825   Acc_train = 59.393 %
Iter 191   J = 0.66811   Acc_train = 59.4066 %
Iter 192   J = 0.66797   Acc_train = 59.3969 %
Iter 193   J = 0.66783   Acc_train = 59.4047 %
Iter 194   J = 0.66769   Acc_train = 59.4066 %
Iter 195   J = 0.66755   Acc_train = 59.4221 %
Iter 196   J = 0.66741   Acc_train = 59.426 %
Iter 197   J = 0.66727   Acc_train = 59.4474 %
Iter 198   J = 0.66713   Acc_train = 59.4785 %
Iter 199   J = 0.667   Acc_train = 59.494 %
Iter 200   J = 0.66686   Acc_train = 59.5115 %
Iter 201   J = 0.66672   Acc_train = 59.5348 %
Iter 202   J = 0.66658   Acc_train = 59.5425 %
Iter 203   J = 0.66644   Acc_train = 59.5658 %
Iter 204   J = 0.6663   Acc_train = 59.5833 %
Iter 205   J = 0.66616   Acc_train = 59.593 %
Iter 206   J = 0.66602   Acc_train = 59.595 %
